Date,APPLE Close,NASDAQ ,NYSE ,S&P 500,FTSE100,NIKKI225,BSE SENSEX,RUSSELL2000,HENG SENG,Crude Oil,Gold,USD index,Unemployment rate,Inflation,Persenal comsumption expenditures,Industry production index
2010/7/1,8.874286,2101.360107,6462.029785,1027.369995,,9191.599609,17509.33008,604.76001,#N/A,72.949997,1206.300049,84.72,9.4,1.5,0.3,7.7
2010/7/2,8.819285,2091.790039,6434.810059,1022.580017,,9203.709961,17460.94922,598.969971,19905.32031,72.139999,1207.400024,84.43,9.4,1.5,0.3,7.7
2010/7/6,8.879642,2093.879883,6486.089844,1028.060059,,9338.040039,17614.48047,590.030029,20084.11914,71.980003,1194.800049,84.08,9.4,1.5,0.3,7.7
2010/7/7,9.238214,2159.469971,6685.779785,1060.27002,,9279.650391,17471.0293,611.659973,19857.07031,74.07,1198.599976,83.82,9.4,1.5,0.3,7.7
2010/7/8,9.2175,2175.399902,6755.810059,1070.25,,9535.740234,17651.73047,620.27002,20050.56055,75.440002,1195.800049,83.82,9.4,1.5,0.3,7.7
2010/7/9,9.272142,2196.449951,6808.709961,1077.959961,,9585.320313,17833.53906,629.429993,20378.66016,76.089996,1209.599976,83.95,9.4,1.5,0.3,7.7
2010/7/12,9.188929,2198.360107,6794.47998,1078.75,,9548.110352,17937.19922,621.609985,20467.42969,74.949997,1198.5,84.2,9.4,1.5,0.3,7.7
2010/7/13,8.992857,2242.030029,6907.779785,1095.339966,,9537.230469,17985.90039,642.820007,20431.06055,77.150002,1213.300049,83.64,9.4,1.5,0.3,7.7
2010/7/14,9.026072,2249.840088,6903.359863,1095.170044,,9795.240234,17938.16016,640.159973,20560.81055,77.040001,1206.800049,83.43,9.4,1.5,0.3,7.7
2010/7/15,8.980357,2249.080078,6916.810059,1096.47998,,9685.530273,17909.46094,634.619995,20255.61914,76.620003,1208.099976,82.56,9.4,1.5,0.3,7.7
2010/7/16,8.925,2179.050049,6709.509766,1064.880005,,9408.360352,17955.82031,610.390015,20250.16016,76.010002,1188,82.49,9.4,1.5,0.3,7.7
2010/7/19,8.770715,2198.22998,6739.640137,1071.25,,#N/A,17928.41992,613.080017,20090.94922,76.540001,1181.699951,82.51,9.4,1.5,0.3,7.7
2010/7/20,8.996072,2222.48999,6820.040039,1083.47998,,#N/A,17878.14063,624.23999,20264.58984,77.440002,1191.5,82.75,9.4,1.5,0.3,7.7
2010/7/21,9.08,2187.330078,6731.160156,1069.589966,,9278.830078,17977.23047,612.640015,20487.23047,76.559998,1191.599976,83.39,9.4,1.5,0.3,7.7
2010/7/22,9.250714,2245.889893,6901.910156,1093.670044,,9220.879883,18113.15039,635.47998,20589.69922,79.300003,1195.5,82.59,9.4,1.5,0.3,7.7
2010/7/23,9.283571,2269.469971,6965.109863,1102.660034,,9430.959961,18130.98047,650.650024,20815.33008,78.980003,1187.699951,82.46,9.4,1.5,0.3,7.7
2010/7/26,9.26,2296.429932,7046,1115.01001,,9503.660156,18020.05078,665.219971,20839.91016,78.980003,1183,82.09,9.4,1.5,0.3,7.7
2010/7/27,9.431429,2288.25,7044.990234,1113.839966,,9496.849609,18077.60938,662.169983,20973.39063,77.5,1158,82.19,9.4,1.5,0.3,7.7
2010/7/28,9.32,2264.560059,6999.180176,1106.130005,,9753.269531,17957.36914,650.76001,21091.17969,76.989998,1160.400024,82.18,9.4,1.5,0.3,7.7
2010/7/29,9.218214,2251.689941,6994.569824,1101.530029,,9696.019531,17992,650.429993,21093.82031,78.360001,1168.400024,81.64,9.4,1.5,0.3,7.7
2010/7/30,9.1875,2254.699951,6998.990234,1101.599976,,9537.299805,17868.28906,650.890015,21029.81055,78.949997,1181.699951,81.54,9.4,1.5,0.3,7.7
2010/8/2,9.351786,2295.360107,7174.899902,1125.859985,,9570.30957,18081.21094,661.859985,21412.78906,81.339996,1183.400024,80.94,9.5,1.4,0.4,6.9
2010/8/3,9.354643,2283.52002,7146.990234,1120.459961,,9694.009766,18114.83008,655.659973,21457.66016,82.550003,1185.199951,80.6,9.5,1.4,0.4,6.9
2010/8/4,9.392143,2303.570068,7182.140137,1127.23999,,9489.339844,18217.43945,662.960022,21549.88086,82.470001,1193.699951,80.89,9.5,1.4,0.4,6.9
2010/8/5,9.346429,2293.060059,7174.27002,1125.810059,,9653.919922,18172.83008,655.070007,21551.7207,82.010002,1197.199951,80.83,9.5,1.4,0.4,6.9
2010/8/6,9.288929,2288.469971,7153.720215,1121.640015,,9642.120117,18143.99023,650.679993,21678.80078,80.699997,1203.400024,80.41,9.5,1.4,0.4,6.9
2010/8/9,9.348214,2305.689941,7188.299805,1127.790039,,9572.490234,18287.5,659.52002,21801.58984,81.480003,1200.699951,80.71,9.5,1.4,0.4,6.9
2010/8/10,9.264643,2277.169922,7139.75,1121.060059,,9551.049805,18219.99023,646.359985,21473.59961,80.25,1196.199951,80.8,9.5,1.4,0.4,6.9
2010/8/11,8.935357,2208.629883,6902.709961,1089.469971,,9292.849609,18070.18945,620.390015,21294.53906,78.019997,1197.5,82.29,9.5,1.4,0.4,6.9
2010/8/12,8.9925,2190.27002,6881.939941,1083.609985,,9212.589844,18073.90039,616.97998,21105.71094,75.739998,1214.800049,82.64,9.5,1.4,0.4,6.9
2010/8/13,8.896428,2173.47998,6861.040039,1079.25,,9253.459961,18167.0293,609.48999,21071.57031,75.389999,1214.900024,82.95,9.5,1.4,0.4,6.9
2010/8/16,8.844286,2181.870117,6871.580078,1079.380005,,9196.669922,18050.7793,615.099976,21112.11914,75.239998,1224.5,82.53,9.5,1.4,0.4,6.9
2010/8/17,8.998929,2209.439941,6959.790039,1092.540039,,9161.679688,18048.84961,626.299988,21137.42969,75.769997,1226.599976,82.23,9.5,1.4,0.4,6.9
2010/8/18,9.038215,2215.699951,6968.080078,1094.160034,,9240.540039,18257.11914,628.039978,21022.73047,75.419998,1229.699951,82.22,9.5,1.4,0.4,6.9
2010/8/19,8.924286,2178.949951,6850.450195,1075.630005,,9362.679688,18454.93945,610.960022,21072.46094,74.43,1233.800049,82.45,9.5,1.4,0.4,6.9
2010/8/20,8.915714,2179.76001,6813.149902,1071.689941,,9179.379883,18401.82031,610.780029,20981.82031,73.459999,1227.199951,83.06,9.5,1.4,0.4,6.9
2010/8/23,8.778571,2159.629883,6784.970215,1067.359985,,9116.69043,18409.34961,602.669983,20889.00977,73.099998,1226.900024,83.12,9.5,1.4,0.4,6.9
2010/8/24,8.568929,2123.76001,6681.029785,1051.869995,,8995.139648,18311.58984,595.590027,20658.71094,71.629997,1231.800049,83.15,9.5,1.4,0.4,6.9
2010/8/25,8.674643,2141.540039,6696.120117,1055.329956,,8845.389648,18179.64063,604.869995,20634.98047,72.519997,1239.5,83.26,9.5,1.4,0.4,6.9
2010/8/26,8.581429,2118.689941,6665.259766,1047.219971,,8906.480469,18226.34961,599.76001,20612.06055,73.360001,1235.400024,82.93,9.5,1.4,0.4,6.9
2010/8/27,8.629286,2153.629883,6794.910156,1064.589966,,8991.05957,17998.41016,616.76001,20597.34961,75.169998,1236,82.92,9.5,1.4,0.4,6.9
2010/8/30,8.660714,2119.969971,6695.279785,1048.920044,,9149.259766,18032.10938,601.719971,20737.2207,74.699997,1237.099976,83.16,9.5,1.4,0.4,6.9
2010/8/31,8.682143,2114.030029,6704.149902,1049.329956,,8824.05957,17971.11914,602.059998,20536.49023,71.919998,1248.300049,83.2,9.5,1.4,0.4,6.9
2010/9/1,8.940357,2176.840088,6910.97998,1080.290039,,8927.019531,18205.86914,624.98999,20623.83008,73.910004,1246.300049,82.52,9.5,1.3,0.2,6.3
2010/9/2,9.006071,2200.01001,6966.25,1090.099976,,9062.839844,18238.31055,632.26001,20868.91992,75.019997,1251.5,82.46,9.5,1.3,0.2,6.3
2010/9/3,9.241786,2233.75,7055.029785,1104.51001,,9114.129883,18221.42969,643.359985,20971.5,74.599998,1249.199951,82.1,9.5,1.3,0.2,6.3
2010/9/7,9.2075,2208.889893,6959.939941,1091.839966,,9226,18645.06055,629.289978,21401.78906,74.089996,1257.300049,82.82,9.5,1.3,0.2,6.3
2010/9/8,9.39,2228.870117,6999.939941,1098.869995,,9024.599609,18666.71094,634.25,21088.85938,74.669998,1255.599976,82.58,9.5,1.3,0.2,6.3
2010/9/9,9.395357,2236.199951,7034.370117,1104.180054,,9098.389648,18799.66016,634.619995,21167.26953,74.25,1248.900024,82.67,9.5,1.3,0.2,6.3
2010/9/10,9.4075,2242.47998,7067.509766,1109.550049,,9239.169922,#N/A,636.460022,21257.39063,76.449997,1244.5,82.7,9.5,1.3,0.2,6.3
2010/9/13,9.537143,2285.709961,7156.180176,1121.900024,,9321.820313,19208.33008,652.280029,21658.34961,77.190002,1245.099976,81.91,9.5,1.3,0.2,6.3
2010/9/14,9.573571,2289.77002,7162.080078,1121.099976,,9299.30957,19346.96094,649.22998,21696.03906,76.800003,1269.699951,81.08,9.5,1.3,0.2,6.3
2010/9/15,9.650714,2301.320068,7179.790039,1125.069946,,#N/A,19502.10938,652.51001,21725.64063,76.019997,1266.699951,81.49,9.5,1.3,0.2,6.3
2010/9/16,9.8775,2303.25,7169.47998,1124.660034,,9509.5,19417.49023,647.809998,21691.44922,74.57,1271.900024,81.24,9.5,1.3,0.2,6.3
2010/9/17,9.834642,2315.610107,7154.649902,1125.589966,,9626.089844,19594.75,651.440002,21970.85938,73.660004,1275.599976,81.4,9.5,1.3,0.2,6.3
2010/9/20,10.115357,2355.830078,7266.02002,1142.709961,,#N/A,19906.09961,669.97998,21977.33984,74.860001,1279,81.33,9.5,1.3,0.2,6.3
2010/9/21,10.134643,2349.350098,7245.950195,1139.780029,,9602.110352,20001.55078,664.659973,22002.58984,73.519997,1272.400024,80.44,9.5,1.3,0.2,6.3
2010/9/22,10.276786,2334.550049,7210.850098,1134.280029,,9566.320313,19941.7207,656.710022,22047.71094,74.709999,1290.199951,79.83,9.5,1.3,0.2,6.3
2010/9/23,10.318571,2327.080078,7141.509766,1124.829956,,#N/A,19861.00977,648.840027,#N/A,75.18,1294.300049,80.01,9.5,1.3,0.2,6.3
2010/9/24,10.44,2381.219971,7301.040039,1148.670044,,9471.669922,20045.17969,671.01001,22119.42969,76.489998,1296,79.39,9.5,1.3,0.2,6.3
2010/9/27,10.398571,2369.77002,7263.370117,1142.160034,,9603.139648,20117.38086,668.289978,22340.83984,76.519997,1296.699951,79.34,9.5,1.3,0.2,6.3
2010/9/28,10.245,2379.590088,7310.319824,1147.699951,,9495.759766,20104.85938,675.429993,22109.94922,76.18,1306.599976,79.01,9.5,1.3,0.2,6.3
2010/9/29,10.263214,2376.560059,7299.310059,1144.72998,,9559.379883,19956.33984,677.640015,22378.66992,77.860001,1308.5,78.69,9.5,1.3,0.2,6.3
2010/9/30,10.133928,2368.620117,7281.069824,1141.199951,,9369.349609,20069.11914,676.140015,22358.16992,79.970001,1307.800049,78.72,9.5,1.3,0.2,6.3
2010/10/1,10.09,2370.75,7335.910156,1146.23999,,9404.230469,20445.03906,679.289978,#N/A,81.580002,1316.099976,78.09,9.4,1.2,0.5,5.7
2010/10/4,9.951428,2344.52002,7272.529785,1137.030029,,9381.05957,20475.73047,669.450012,22618.66016,81.470001,1315.400024,78.45,9.4,1.2,0.5,5.7
2010/10/5,10.319285,2399.830078,7434.180176,1160.75,,9518.759766,20407.71094,689.349976,22639.14063,82.82,1338.900024,77.75,9.4,1.2,0.5,5.7
2010/10/6,10.328215,2380.659912,7448.330078,1159.969971,,9691.429688,20543.08008,685.330017,22880.41016,83.230003,1346.400024,77.39,9.4,1.2,0.5,5.7
2010/10/7,10.329286,2383.669922,7425.009766,1158.060059,,9684.80957,20315.32031,684.22998,22884.32031,81.669998,1333.900024,77.39,9.4,1.2,0.5,5.7
2010/10/8,10.5025,2401.909912,7478.419922,1165.150024,,9588.879883,20250.25977,693.820007,22944.17969,82.660004,1344.199951,77.33,9.4,1.2,0.5,5.7
2010/10/11,10.548572,2402.330078,7479.009766,1165.319946,,#N/A,20339.89063,693.47998,23207.31055,82.209999,1353.300049,77.44,9.4,1.2,0.5,5.7
2010/10/12,10.662143,2417.919922,7489.620117,1169.77002,,9388.639648,20203.33984,696.039978,23121.69922,81.669998,1345.699951,77.36,9.4,1.2,0.5,5.7
2010/10/13,10.719286,2441.22998,7561.5,1178.099976,,9403.509766,20687.88086,706.469971,23457.68945,83.010002,1369.5,77.07,9.4,1.2,0.5,5.7
2010/10/14,10.796785,2435.379883,7546.589844,1173.810059,,9583.509766,20497.64063,704.690002,23852.16992,82.690002,1376.699951,76.65,9.4,1.2,0.5,5.7
2010/10/15,11.240714,2468.77002,7520.600098,1176.189941,,9500.25,20125.05078,703.159973,23757.63086,81.25,1371.099976,77.04,9.4,1.2,0.5,5.7
2010/10/18,11.357142,2480.659912,7571.100098,1184.709961,,9498.490234,20168.89063,710.130005,23469.38086,83.080002,1371.199951,76.93,9.4,1.2,0.5,5.7
2010/10/19,11.053214,2436.949951,7423.649902,1165.900024,,9539.450195,19983.13086,694.150024,23763.73047,79.489998,1335.099976,78.18,9.4,1.2,0.5,5.7
2010/10/20,11.090357,2457.389893,7523.810059,1178.170044,,9381.599609,19872.15039,702.109985,23556.5,81.769997,1343.300049,77.17,9.4,1.2,0.5,5.7
2010/10/21,11.054286,2459.669922,7515.669922,1180.26001,,9376.480469,20260.58008,698.119995,23649.48047,80.559998,1324.699951,77.42,9.4,1.2,0.5,5.7
2010/10/22,10.981071,2479.389893,7522.910156,1183.079956,,9426.709961,20165.85938,703.429993,23517.53906,81.690002,1324.400024,77.47,9.4,1.2,0.5,5.7
2010/10/25,11.03,2490.850098,7546.379883,1185.619995,,9401.160156,20303.11914,707.890015,23627.91016,82.519997,1338.300049,77.1,9.4,1.2,0.5,5.7
2010/10/26,11.001785,2497.290039,7530.799805,1185.640015,,9377.379883,20221.39063,706.929993,23601.24023,82.550003,1338,77.71,9.4,1.2,0.5,5.7
2010/10/27,10.993929,2503.26001,7480.870117,1182.449951,,9387.030273,20005.36914,704.22998,23164.58008,81.940002,1322.199951,78.15,9.4,1.2,0.5,5.7
2010/10/28,10.901428,2507.370117,7504.850098,1183.780029,,9366.030273,19941.03906,701.030029,23210.85938,82.18,1342.099976,77.31,9.4,1.2,0.5,5.7
2010/10/29,10.749286,2507.409912,7513.350098,1183.26001,,9202.450195,20032.33984,703.349976,23096.32031,81.43,1357.099976,77.27,9.4,1.2,0.5,5.7
2010/11/1,10.863571,2504.840088,7509.209961,1184.380005,,9154.719727,20355.63086,698.559998,23652.93945,82.949997,1350.199951,77.3,9.8,1.2,0.5,5.3
2010/11/2,11.048572,2533.52002,7582.140137,1193.569946,,9159.980469,20345.68945,712.890015,23671.41992,83.900002,1356.400024,76.72,9.8,1.2,0.5,5.3
2010/11/3,11.171429,2540.27002,7608.410156,1197.959961,,#N/A,20465.74023,715.140015,24144.66992,84.690002,1337.099976,76.48,9.8,1.2,0.5,5.3
2010/11/4,11.366786,2577.340088,7782.430176,1221.060059,,9358.780273,20893.57031,733.460022,24535.63086,86.489998,1382.699951,75.88,9.8,1.2,0.5,5.3
2010/11/5,11.326072,2578.97998,7800.660156,1225.849976,,9625.990234,#N/A,736.590027,24876.82031,86.849998,1397.300049,76.55,9.8,1.2,0.5,5.3
2010/11/8,11.379286,2580.050049,7782.200195,1223.25,,9732.919922,20852.38086,736.77002,24964.36914,87.059998,1402.800049,77.03,9.8,1.2,0.5,5.3
2010/11/9,11.288571,2562.97998,7702.310059,1213.400024,,9694.490234,20932.48047,725.97998,24710.59961,86.720001,1409.800049,77.44,9.8,1.2,0.5,5.3
2010/11/10,11.358214,2578.780029,7747.459961,1218.709961,,9830.519531,20875.71094,734.869995,24500.60938,87.809998,1399.099976,77.63,9.8,1.2,0.5,5.3
2010/11/11,11.308928,2555.52002,7723.240234,1213.540039,,9861.459961,20589.08984,731.580017,24700.30078,87.809998,1403.099976,78.22,9.8,1.2,0.5,5.3
2010/11/12,11.001071,2518.209961,7623.240234,1199.209961,,9724.80957,20156.89063,719.27002,24222.58008,84.879997,1365.400024,78.08,9.8,1.2,0.5,5.3
2010/11/15,10.965714,2513.820068,7617.509766,1197.75,,9827.509766,20309.68945,719.940002,24027.17969,84.860001,1368.400024,78.52,9.8,1.2,0.5,5.3
2010/11/16,10.771071,2469.840088,7472.629883,1178.339966,,9797.099609,19865.14063,705.340027,23693.01953,82.339996,1338.300049,79.21,9.8,1.2,0.5,5.3
2010/11/17,10.732142,2476.01001,7488.759766,1178.589966,,9811.660156,#N/A,707.77002,23214.46094,80.440002,1336.800049,79.08,9.8,1.2,0.5,5.3
